[ 2017-06-29T10:10:45+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-29T10:10:45+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-29T10:10:50+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006021s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005205s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006430s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.006898s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005801s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005417s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-29 10:10:50',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.005623s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-29 10:10:50',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.004752s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006701s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.007507s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='13db79e53db51f00787aa0547d1ae8e0',`username`='baidu',`logintime`='2017-06-29 10:10:50' WHERE username='baidu' [ RunTime:0.006284s ]
[ 2017-06-29T10:10:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005426s ]

[ 2017-06-29T16:01:33+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-29T16:01:34+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-29T16:01:38+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006346s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007262s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006358s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.006748s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006155s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006094s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-29 16:01:38',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.007519s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-29 16:01:38',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.006162s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006804s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.005781s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='4c4b763244cc264db38e26c6bd432b74',`username`='baidu',`logintime`='2017-06-29 16:01:38' WHERE username='baidu' [ RunTime:0.005079s ]
[ 2017-06-29T16:01:38+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006286s ]

[ 2017-06-29T16:01:38+08:00 ] 127.0.0.1 /
[ 2017-06-29T16:01:38+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006362s ]
[ 2017-06-29T16:01:38+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005826s ]
[ 2017-06-29T16:01:38+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006342s ]
[ 2017-06-29T16:01:38+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.005250s ]
[ 2017-06-29T16:01:38+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005056s ]
