[ 2017-06-26T09:50:09+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T09:50:09+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T09:59:10+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T09:59:10+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T09:59:14+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.009585s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006756s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008145s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.007448s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.010522s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007622s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-26 09:59:14',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.007269s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-26 09:59:14',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.007213s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007775s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qjx' LIMIT 1   [ RunTime:0.008380s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='0b4f30a602d7718a42a332b55fcd78a0',`username`='qjx',`logintime`='2017-06-26 09:59:14' WHERE username='qjx' [ RunTime:0.007338s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007348s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.008356s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-06-26 09:59:14') [ RunTime:0.010434s ]

[ 2017-06-26T09:59:14+08:00 ] 127.0.0.1 /
[ 2017-06-26T09:59:14+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.007824s ]
[ 2017-06-26T09:59:14+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006443s ]
[ 2017-06-26T09:59:14+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.015846s ]
[ 2017-06-26T09:59:14+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007728s ]
[ 2017-06-26T09:59:14+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006076s ]

[ 2017-06-26T09:59:15+08:00 ] 127.0.0.1 /Public/getJsMenu.html
[ 2017-06-26T09:59:14+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006620s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005281s ]
[ 2017-06-26T09:59:14+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.005970s ]
[ 2017-06-26T09:59:15+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.005249s ]
[ 2017-06-26T09:59:15+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.005724s ]
[ 2017-06-26T09:59:15+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005452s ]
[ 2017-06-26T09:59:15+08:00 ] /Public/getJsMenu.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='1' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006698s ]
[ 2017-06-26T09:59:15+08:00 ] /Public/getJsMenu.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005117s ]
[ 2017-06-26T09:59:15+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='1' ORDER BY sort desc,timeadd asc  [ RunTime:0.006559s ]

[ 2017-06-26T09:59:15+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T09:59:15+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T09:59:15+08:00 ] 127.0.0.1 /Index/system.html
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006725s ]
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004777s ]
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008191s ]
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006391s ]
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004887s ]
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.006328s ]
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SELECT COUNT(*) AS tp_count FROM `member` WHERE (  (`timeadd` BETWEEN '2017-06-26' AND '2017-06-26 23:59:59' ) ) LIMIT 1   [ RunTime:0.004509s ]
[ 2017-06-26T09:59:15+08:00 ] /Index/system.html | SQL: SELECT COUNT(*) AS tp_count FROM `member` LIMIT 1   [ RunTime:0.004439s ]

[ 2017-06-26T09:59:18+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T09:59:18+08:00 ] 127.0.0.1 /Product/index.html
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.008024s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `loan_config` [ RunTime:0.008249s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT * FROM `loan_config` LIMIT 1   [ RunTime:0.007190s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `loan_periode` [ RunTime:0.007846s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT * FROM `loan_periode` ORDER BY type asc,periode asc  [ RunTime:0.006478s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007420s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `loan_config` [ RunTime:0.007534s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT * FROM `loan_config` LIMIT 1   [ RunTime:0.006596s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006764s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006388s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008975s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007467s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.007262s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007366s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `loan_config` [ RunTime:0.008289s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT * FROM `loan_config` LIMIT 1   [ RunTime:0.007697s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SHOW COLUMNS FROM `business_loan` [ RunTime:0.007757s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT COUNT(*) AS tp_count FROM business_loan bus_l,business_channel bc,business_company bus,channel_company cha,capital_loan cap_l,capital_company cap WHERE ( bus_l.business_company_id=bus.id  and bus.id=bc.business_company_id and bc.channel_company_id=cha.id  and bus_l.capital_loan_id=cap_l.id  and cap_l.capital_company_id=cap.id  ) LIMIT 1   [ RunTime:0.007814s ]
[ 2017-06-26T09:59:18+08:00 ] /Product/index.html | SQL: SELECT bus_l.*,bus.companyname as bus_companyname,cha.companyname as cha_companyname,cap_l.name as cap_l_name,cap.companyname as cap_companyname FROM business_loan bus_l,business_channel bc,business_company bus,channel_company cha,capital_loan cap_l,capital_company cap WHERE ( bus_l.business_company_id=bus.id  and bus.id=bc.business_company_id and bc.channel_company_id=cha.id  and bus_l.capital_loan_id=cap_l.id  and cap_l.capital_company_id=cap.id  ) LIMIT 0,10   [ RunTime:0.007901s ]

[ 2017-06-26T10:46:20+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T11:40:15+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T13:54:22+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T13:54:22+08:00 ] 127.0.0.1 /Member/index.html
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006832s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.007507s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008025s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007614s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006381s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007275s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.006821s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SELECT COUNT(*) AS tp_count FROM member m,member_info mi,business_company bus,business_channel bc,channel_company cha WHERE ( m.id=mi.memberid and m.business_company_id=bus.id  and  bus.id=bc.business_company_id  and bc.channel_company_id=cha.id ) LIMIT 1   [ RunTime:0.006410s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SELECT m.*,mi.names,mi.certiNumber,mi.nameStatus,cha.companyname as channel_companyname,bus.companyname as business_companyname FROM member m,member_info mi,business_company bus,business_channel bc,channel_company cha WHERE ( m.id=mi.memberid and m.business_company_id=bus.id  and  bus.id=bc.business_company_id  and bc.channel_company_id=cha.id ) LIMIT 0,10   [ RunTime:0.007361s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SHOW COLUMNS FROM `member_import` [ RunTime:0.007207s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SELECT * FROM `member_import` WHERE ( `business_company_id` = '25' ) AND ( `certiNumber` = '310113198910041423' ) LIMIT 1   [ RunTime:0.007255s ]
[ 2017-06-26T13:54:22+08:00 ] /Member/index.html | SQL: SELECT * FROM `member_import` WHERE ( `business_company_id` = '25' ) AND ( `certiNumber` = null ) LIMIT 1   [ RunTime:0.007760s ]

[ 2017-06-26T13:54:23+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T13:54:24+08:00 ] 127.0.0.1 /Product/capitalProduct.html
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.009768s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SHOW COLUMNS FROM `loan_config` [ RunTime:0.011069s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SELECT * FROM `loan_config` LIMIT 1   [ RunTime:0.005924s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SHOW COLUMNS FROM `loan_periode` [ RunTime:0.009744s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SELECT * FROM `loan_periode` ORDER BY type asc,periode asc  [ RunTime:0.006103s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.008705s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SHOW COLUMNS FROM `loan_config` [ RunTime:0.011266s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SELECT * FROM `loan_config` LIMIT 1   [ RunTime:0.006966s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.007002s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005485s ]
[ 2017-06-26T13:54:24+08:00 ] /Product/capitalProduct.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.009723s ]
