[ 2017-07-04T09:39:10+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-04T09:39:24+08:00 ] 127.0.0.1 /Public/autoLogin
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006788s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006528s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007086s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user` WHERE username='qudao1' LIMIT 1   [ RunTime:0.006855s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.016096s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.018192s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `lasttime`='2017-07-04 09:39:23',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.019926s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-04 09:39:23',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.019310s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.020105s ]
[ 2017-07-04T09:39:23+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user_token` WHERE username='qudao1' LIMIT 1   [ RunTime:0.019475s ]
[ 2017-07-04T09:39:24+08:00 ] /Public/autoLogin | SQL: UPDATE `user_token` SET `token`='9a484983c683ac8a6be5140cf041928d',`username`='qudao1',`logintime`='2017-07-04 09:39:23' WHERE username='qudao1' [ RunTime:0.020231s ]
[ 2017-07-04T09:39:24+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.021032s ]
[ 2017-07-04T09:39:24+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.021950s ]
[ 2017-07-04T09:39:24+08:00 ] /Public/autoLogin | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'8','用户登录',1,'127.0.0.1','2017-07-04 09:39:24') [ RunTime:0.025314s ]

[ 2017-07-04T09:39:24+08:00 ] 127.0.0.1 /
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006137s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005782s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007326s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.005572s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006047s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006047s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=8 LIMIT 1   [ RunTime:0.005973s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005571s ]
[ 2017-07-04T09:39:24+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=8 and at.status=1 LIMIT 1   [ RunTime:0.005567s ]

[ 2017-07-04T09:39:24+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-07-04T09:39:24+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007038s ]
